year,general,defence,finance,trade_industry,manpower,education,transport,national_development,health,sustainability_environment,social_family_development,home_affairs,foreign_affairs,communications_information,culture_community_youth,law
1960,25.71428571428571,25.71428571428571,15.178571428571427,6.25,0.7142857142857143,10.714285714285714,4.642857142857143,2.3214285714285716,0.17857142857142858,0.7142857142857143,0.8928571428571428,2.857142857142857,1.25,1.4285714285714286,1.0714285714285714,0.35714285714285715
1961,23.916083916083917,27.972027972027973,19.44055944055944,6.293706293706294,1.8181818181818181,4.475524475524476,2.6573426573426575,4.195804195804196,0.9790209790209791,1.5384615384615385,1.3986013986013985,2.237762237762238,1.6783216783216783,0.27972027972027974,0.8391608391608392,0.27972027972027974
1962,30.18867924528302,25.849056603773583,12.264150943396226,5.283018867924529,1.1320754716981132,7.547169811320755,5.09433962264151,3.5849056603773586,0.5660377358490566,2.6415094339622645,0.5660377358490566,2.6415094339622645,0.5660377358490566,1.3207547169811322,0.7547169811320755,0.0
1963,26.565874730021598,27.645788336933048,6.695464362850973,10.367170626349893,3.2397408207343417,8.207343412526997,4.751619870410368,3.2397408207343417,0.0,2.375809935205184,0.4319654427645789,2.375809935205184,0.6479481641468683,1.511879049676026,1.7278617710583155,0.21598272138228944
1964,26.8630849220104,24.263431542461007,11.265164644714037,11.265164644714037,2.2530329289428077,2.772963604852686,4.15944540727903,4.332755632582322,2.079722703639515,1.9064124783362217,1.9064124783362217,2.079722703639515,1.9064124783362217,1.733102253032929,1.2131715771230502,0.0
1965,29.581151832460733,22.774869109947645,13.350785340314136,6.806282722513089,1.0471204188481675,8.37696335078534,4.450261780104712,5.7591623036649215,0.7853403141361256,1.5706806282722512,1.832460732984293,0.7853403141361256,1.0471204188481675,0.2617801047120419,1.0471204188481675,0.5235602094240838
1966,26.021505376344084,20.21505376344086,19.35483870967742,8.172043010752688,1.2903225806451613,4.086021505376344,4.731182795698925,5.161290322580645,1.5053763440860215,1.7204301075268817,1.935483870967742,2.795698924731183,0.8602150537634409,0.6451612903225806,0.8602150537634409,0.6451612903225806
1967,29.78723404255319,17.2147001934236,12.76595744680851,11.02514506769826,5.029013539651837,5.609284332688588,4.642166344294004,4.642166344294004,0.3868471953578337,2.7079303675048356,0.3868471953578337,1.160541586073501,1.5473887814313347,0.9671179883945842,1.7408123791102514,0.3868471953578337
1968,26.59279778393352,32.686980609418285,3.0470914127423825,12.465373961218837,8.033240997229916,1.9390581717451523,1.662049861495845,4.7091412742382275,0.2770083102493075,1.10803324099723,1.662049861495845,3.6011080332409975,0.8310249307479225,0.8310249307479225,0.554016620498615,0.0
1969,27.99227799227799,34.74903474903475,9.45945945945946,6.370656370656371,2.8957528957528957,4.826254826254826,4.247104247104247,2.8957528957528957,0.0,1.5444015444015444,0.3861003861003861,2.1235521235521233,1.3513513513513513,0.9652509652509652,0.19305019305019305,0.0
